lat,lng
-27.363684,152.964075
-27.363641,152.964123
-27.363575,152.964272
-27.363478,152.964401
-27.36337,152.964523
-27.363262,152.964694
-27.363153,152.964876
-27.363136,152.964906
-27.36303,152.965091
-27.362994,152.965148
-27.362917,152.965261
-27.362882,152.965319
-27.362779,152.9655
-27.362674,152.965672
-27.362636,152.965729
-27.362524,152.965911
-27.362418,152.966088
-27.362398,152.966117
-27.362293,152.966278
-27.36219,152.966461
-27.362076,152.966639
-27.362057,152.966667
-27.361948,152.966846
-27.361909,152.966904
-27.361796,152.967088
-27.361778,152.967117
-27.361729,152.967207
-27.361679,152.96729
-27.361581,152.967463
-27.361566,152.967493
-27.361531,152.967557
-27.361446,152.96771
-27.361345,152.967901
-27.361234,152.968074
-27.361145,152.968261
-27.361149,152.968446
-27.361244,152.968657
-27.361267,152.96869
-27.361334,152.968776
-27.36145,152.968909
-27.361589,152.969077
-27.361611,152.969104
-27.361756,152.969269
-27.36178,152.969296
-27.361914,152.969453
-27.361937,152.969482
-27.362026,152.96959
-27.362069,152.969646
-27.362205,152.969807
-27.36222,152.969839
-27.362235,152.969967
-27.362215,152.969986
-27.362075,152.970015
-27.362046,152.97002
-27.36186,152.970049
-27.361677,152.97013
-27.361544,152.970307
-27.361509,152.970459
-27.361515,152.970675
-27.361536,152.970889
-27.361568,152.971096
-27.361576,152.971315
-27.361564,152.971377
-27.361528,152.971531
-27.361506,152.971714
-27.36153,152.971826
-27.361547,152.971934
-27.361519,152.971965
-27.361492,152.971963
-27.361416,152.971924
-27.361371,152.971889
-27.361273,152.971808
-27.361149,152.97171
-27.361117,152.971709
-27.361061,152.971752
-27.361038,152.971783
-27.360969,152.971848
-27.360952,152.97186
-27.36089,152.971939
-27.360866,152.971967
-27.360817,152.972023
-27.360774,152.972082
-27.360731,152.972124
-27.360581,152.972246
-27.360428,152.972381
-27.360361,152.972462
-27.360234,152.972633
-27.36021,152.972657
-27.360075,152.972812
-27.360053,152.972837
-27.359935,152.97297
-27.359795,152.973138
-27.35974,152.97318
-27.359589,152.973325
-27.359434,152.973472
-27.359379,152.97351
-27.359223,152.973652
-27.359067,152.973784
-27.358951,152.973911
-27.358906,152.973964
-27.358759,152.974103
-27.358687,152.974178
-27.358538,152.974329
-27.358368,152.974471
-27.358345,152.974496
-27.358243,152.974604
-27.358219,152.974631
-27.358171,152.974683
-27.358091,152.974758
-27.35798,152.974842
-27.357842,152.97494
-27.357678,152.975063
-27.357521,152.975135
-27.357378,152.975282
-27.357233,152.97536
-27.357173,152.975387
-27.357024,152.975442
-27.356828,152.975497
-27.356765,152.975508
-27.35657,152.975548
-27.356537,152.975556
-27.356308,152.975594
-27.356115,152.975651
-27.356082,152.975657
-27.355897,152.975721
-27.355698,152.975779
-27.355492,152.975834
-27.355459,152.975841
-27.355255,152.975883
-27.355188,152.975892
-27.354994,152.975924
-27.354838,152.975955
-27.354804,152.975961
-27.354638,152.975987
-27.35457,152.975973
-27.354432,152.975989
-27.354374,152.976024
-27.35428,152.976045
-27.354101,152.976068
-27.353902,152.976097
-27.353766,152.976117
-27.353629,152.976141
-27.353428,152.976179
-27.353394,152.976185
-27.353361,152.976189
